"","model","mpg","cyl","disp","hp","drat","wt","qsec","engine_straight","transmission_manual","gear","carb","mpg_category","wt_category","mpg_per_cyl"
"1","Fiat X1-9",27.3,4,79,66,4.08,1.935,18.9,TRUE,TRUE,4,1,"medium","light",6.82
"2","Toyota Corolla",33.9,4,71.1,65,4.22,1.835,19.9,TRUE,TRUE,4,1,"high","light",8.47
"3","Lotus Europa",30.4,4,95.1,113,3.77,1.513,16.9,TRUE,TRUE,5,2,"high","light",7.6
"4","Honda Civic",30.4,4,75.7,52,4.93,1.615,18.52,TRUE,TRUE,4,2,"high","light",7.6
"5","Duster 360",14.3,8,360,245,3.21,3.57,15.84,FALSE,FALSE,3,4,"low","medium",1.79
"6","Camaro Z28",13.3,8,350,245,3.73,3.84,15.41,FALSE,FALSE,3,4,"low","medium",1.66
"7","Volvo 142E",21.4,4,121,109,4.11,2.78,18.6,TRUE,TRUE,4,2,"medium","medium",5.35
"8","Valiant",18.1,6,225,105,2.76,3.46,20.22,TRUE,FALSE,3,1,"medium","medium",3.02
"9","Toyota Corona",21.5,4,120.1,97,3.7,2.465,20.01,TRUE,FALSE,3,1,"medium","medium",5.38
"10","Porsche 914-2",26,4,120.3,91,4.43,2.14,16.7,FALSE,TRUE,5,2,"medium","medium",6.5
"11","Pontiac Firebird",19.2,8,400,175,3.08,3.845,17.05,FALSE,FALSE,3,2,"medium","medium",2.4
"12","Merc 450SLC",15.2,8,275.8,180,3.07,3.78,18,FALSE,FALSE,3,3,"medium","medium",1.9
"13","Merc 450SL",17.3,8,275.8,180,3.07,3.73,17.6,FALSE,FALSE,3,3,"medium","medium",2.16
"14","Merc 280C",17.8,6,167.6,123,3.92,3.44,18.9,TRUE,FALSE,4,4,"medium","medium",2.97
"15","Merc 280",19.2,6,167.6,123,3.92,3.44,18.3,TRUE,FALSE,4,4,"medium","medium",3.2
"16","Merc 240D",24.4,4,146.7,62,3.69,3.19,20,TRUE,FALSE,4,2,"medium","medium",6.1
"17","Merc 230",22.8,4,140.8,95,3.92,3.15,22.9,TRUE,FALSE,4,2,"medium","medium",5.7
"18","Mazda RX4 Wag",21,6,160,110,3.9,2.875,17.02,FALSE,TRUE,4,4,"medium","medium",3.5
"19","Mazda RX4",21,6,160,110,3.9,2.62,16.46,FALSE,TRUE,4,4,"medium","medium",3.5
"20","Maserati Bora",15,8,301,335,3.54,3.57,14.6,FALSE,TRUE,5,8,"medium","medium",1.88
"21","Hornet Sportabout",18.7,8,360,175,3.15,3.44,17.02,FALSE,FALSE,3,2,"medium","medium",2.34
"22","Hornet 4 Drive",21.4,6,258,110,3.08,3.215,19.44,TRUE,FALSE,3,1,"medium","medium",3.57
"23","Ford Pantera L",15.8,8,351,264,4.22,3.17,14.5,FALSE,TRUE,5,4,"medium","medium",1.98
"24","Ferrari Dino",19.7,6,145,175,3.62,2.77,15.5,FALSE,TRUE,5,6,"medium","medium",3.28
"25","Dodge Challenger",15.5,8,318,150,2.76,3.52,16.87,FALSE,FALSE,3,2,"medium","medium",1.94
"26","Datsun 710",22.8,4,108,93,3.85,2.32,18.61,TRUE,TRUE,4,1,"medium","medium",5.7
"27","AMC Javelin",15.2,8,304,150,3.15,3.435,17.3,FALSE,FALSE,3,2,"medium","medium",1.9
"28","Fiat 128",32.4,4,78.7,66,4.08,2.2,19.47,TRUE,TRUE,4,1,"high","medium",8.1
"29","Lincoln Continental",10.4,8,460,215,3,5.424,17.82,FALSE,FALSE,3,4,"low","heavy",1.3
"30","Chrysler Imperial",14.7,8,440,230,3.23,5.345,17.42,FALSE,FALSE,3,4,"low","heavy",1.84
"31","Cadillac Fleetwood",10.4,8,472,205,2.93,5.25,17.98,FALSE,FALSE,3,4,"low","heavy",1.3
"32","Merc 450SE",16.4,8,275.8,180,3.07,4.07,17.4,FALSE,FALSE,3,3,"medium","heavy",2.05
